,,,,,,
Petitioner Location,,,"Petitions by State, Company, and FEIN (Last 4 Digits)",,,
,,,Petitions by U.S. Employer and U.S. Agent1,,,
,,,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,
Grand Total,,,"4,657","4,401",21,750
,,,,,,
Petitions by State6,,,,,,
ALABAMA,6307,MORRIS & MORRIS FARMS, 1 , 1 ,,
,6310,JAMES MARTIN FARMS LLC, 1 , 1 ,,
,7211,ALLEE & ALLEN FARMS LLC, 1 , 1 ,,
ALABAMA Total,,, 3 , 3 ,,
ALASKA,9200,MOSESIAN FARMS OF ALASKA INC, 3 , 3 , 1 ,
ALASKA Total,,, 3 , 3 , 1 ,
ARIZONA,4734,AG INSTALLER INC, 1 ,, 1 ,
,,AG INSTALLERS INC, 5 , 8 ,, 1 
,4743,AG INSTALLERS INC,, 1 ,,
,5105,SERVICIOS AGRICOLAS MEX INC, 2 ,,, 2 
,8602,THE GROWERS CO INC, 1 , 1 ,,
,8603,CENTRAL ARIZONA FARMING INC, 1 , 1 ,,
,,CENTRAL AZ FARMING INC, 1 , 1 ,,
,8606,TAYLOR S HERB GARDENS OF ARIZONA I, 1 , 1 ,,
,8607,AUZA RANCHES LLC, 1 , 1 ,,
,8609,SALZMAN FARMS, 1 , 1 ,,
ARIZONA Total,,, 14 , 15 , 1 , 3 
ARKANSAS,2068,PATTSVILLE FARMS INC, 1 , 1 ,,
,4367,SOUTHERN WHEEL & IRON WORKS ALP, 1 , 1 ,,
,4384,HILLSTOP SOD & LANDSCAPING LLC, 1 , 1 ,,
,,HILLTOP SOD & LANDSCAPING LLC, 1 ,,, 1 
,2009,SANDAGE FARMS, 1 , 1 ,,
,2021,CALEB JONES FARMS, 1 , 1 ,,
,2021,SSR FARMS, 1 ,,, 1 
,2024,STRACENER FARMING CO,,,, 1 
,2035,FIVE OAKS WILDLIFE SVCS LLC, 1 , 1 ,,
,2041,LOWRY FARMS INC,,,, 1 
,2081,DOUBLE H AGRI LLC, 1 , 1 ,,
,2239,TLH FARMS, 1 , 1 ,,
,2617,FLORENDEN FARMS, 1 , 1 ,,
,2618,ADAM CHAPPELL FARMS, 1 , 1 ,,
,2627,FARM H2A LLC, 1 ,,, 1 
,2635,CIRCLE P FARMS, 1 , 1 ,,
,2641,TOWNLEY TOMATO FARM WATT FARMS & R,, 1 ,,
,2644,MULBERRY PLANTING CO, 1 , 1 ,,
,2644,MID SOUTH FARMING CO, 1 , 1 ,,
,2645,DAVID & LALAIN WILKISON FARMS PART, 1 , 1 ,,
,2648,3M PLANTING CO, 1 , 1 ,,
,2708,DELTA VALLEY FARMS LLC, 1 , 1 ,,
,2712,CLANTON FARMS LLC, 1 , 1 ,,
,2717,REED STOREY FARMS,, 1 ,,
,2721,S&K FARMS PARTNERSHIP, 1 , 1 ,,
,2721,HERRERA FARMING CO, 1 , 1 ,,
,2721,CHRIS & TASHA WARREN FARMS, 1 , 1 ,,
,3000,DIVERSIFIED SVCS LAWN AND GARDEN C, 1 , 1 ,,
,3001,F & F COMPANIES, 1 , 1 ,,
,3310,T AND M FARMS, 1 , 1 ,,
,4120,COFFEE CREEK FARMS, 1 , 1 ,,
,4516,BIG SLASH LLC, 1 , 1 ,,
,4537,ROB AND COURT FARMS, 1 , 1 ,,
,4605,MEDFORD & SONS, 1 , 1 ,,
,4608,RAMOS FARM, 1 , 1 ,,
,4615,BRICKEYS GRAIN CO, 1 , 1 ,,
,4616,PETTER PLANTING LLC, 1 ,,, 1 
,4626,JUSTIN MENCER FARMS, 1 , 1 ,,
,4632,GERRY HARRIS FARM INC, 1 ,,,
,4725,WHITETAIL FARMS, 1 , 1 ,,
,4737,TMG AG LLC, 1 , 1 ,,
,5223,CARDEN FARMS LLC, 1 , 1 ,,
,7104,HARRY SAUL MINNOW FARM INC, 1 , 1 ,,
,7104,WINROCK FARMS INC, 1 , 1 ,,
,7104,ELDON REED FARMS INC, 1 , 1 ,,
,7104,A & A FARMS, 1 , 1 ,,
,7104,E & E FARMS INC, 1 , 1 ,,
,7104,DOUBLE D FARMS, 1 , 1 ,,
,7104,JIMEL FARMS INC, 1 , 1 ,,
,7105,LARRY MCCLENDON FARMS,,,, 1 
,7105,MADDING ASSN, 1 , 1 ,,
,7105,STOREY FARMS INC, 1 , 1 ,,
,7105,I F ANDERSON FARMS INC, 1 , 1 ,,
,7105,JOHN P BAIONI FARMS, 1 , 1 ,,
,7105,FOGLEMAN FARMS, 1 , 1 ,,
,7106,M & D FARMS,, 1 ,,
,7106,JERRY FULLER FARMS, 1 , 1 ,,
,7106,TERRY R FULLER, 1 , 1 ,,
,7106,KING FARM PARTNERSHIP, 1 , 1 ,,
,7106,DUNNAHOE FARMS, 1 , 1 ,,
,7106,FARM CAT INC, 1 , 1 ,,
,7106,STEPHEN & BRENT DAVIS FARM, 1 , 1 ,,
,7106,BARNHILL ORCHARDS, 1 , 1 ,,
,7106,EUSEPPI FARMING CO, 1 , 1 ,,
,7106,GAIRHAN FARMS INC, 1 , 1 ,,
,7106,ROUND POND FARM, 1 , 1 ,,
,7106,GILL BROTHERS FARMS, 1 , 1 ,,
,7106,POOL FISHERIES INC, 1 , 1 ,,
,7106,PENN BROTHERS PTR LANDLEVELING, 1 , 1 ,,
,7106,BRAD HARROD FARMS, 1 , 1 ,,
,7106,DAREN FOWLER FARMS, 1 , 1 ,,
,7107,RIVER VALLEY HORT PRODUCTS INC, 1 , 1 ,,
,7107,LAKE VILLAGE SEED AND TIRE CO INC, 1 , 1 ,,
,7107,CASTONS BLUEBERRIES, 1 , 1 ,,
,7107,BRANTLEY FARMING COMPANY, 1 , 1 ,,
,7107,LESLIE T BROWN FARMS, 1 , 1 ,,
,7107,KODIAK FARMING CO INC, 1 , 1 ,,
,7107,P & E PARTNERS,,,, 1 
,7107,STEPHENS PARTNERSHIP, 1 , 1 ,,
,7107,GEORGETOWN CORP,, 1 ,,
,7107,THREE E FARMS,,,, 1 
,7107,G AND L SKINNER FARMS, 1 , 1 ,,
,7107,GODWIN FARMS PARTNERSHIP, 1 , 1 ,,
,7107,OXNER AG PARTNERSHIP, 1 , 1 ,,
,7108,ALEX PIERONI FARMS, 1 , 1 ,,
,7108,JOHNSVILLE FARMS LLC, 1 , 1 ,,
,7108,FREELAND FARMS PARTNERSHIP, 2 , 1 ,, 1 
,7108,HARROD & HENSLEY LLC, 1 ,,, 1 
